epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.029,1.33101,2.83497,1.54706,0.49427,0.50926,0.50895,0.30606,1.27404,1.72634,1.57257,0.000185107,0.000185107,0.000185107
2,193.371,1.23209,1.85127,1.45151,0.56106,0.63353,0.59859,0.37973,1.20896,1.45768,1.47624,0.000297093,0.000297093,0.000297093
3,283.597,1.18096,1.64223,1.40757,0.64209,0.66753,0.69055,0.4504,1.14445,1.23508,1.41192,0.000335687,0.000335687,0.000335687
4,373.262,1.10521,1.44611,1.3568,0.69756,0.74206,0.76422,0.53615,1.03432,1.03222,1.32211,0.000225736,0.000225736,0.000225736
5,462.766,1.03766,1.24797,1.30508,0.76712,0.79981,0.83739,0.60553,0.98235,0.83678,1.27685,0.000115648,0.000115648,0.000115648
