epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.628,1.3381,2.88575,1.55542,0.46819,0.49297,0.47677,0.30106,1.22811,1.78465,1.52326,0.000185107,0.000185107,0.000185107
2,194.412,1.26179,1.94521,1.47236,0.51943,0.5916,0.55764,0.35283,1.21931,1.56686,1.4881,0.00033542,0.00033542,0.00033542
3,285.266,1.20554,1.74005,1.43034,0.61549,0.62652,0.65695,0.42941,1.15132,1.3091,1.43149,0.000365679,0.000365679,0.000365679
4,375.032,1.10874,1.48709,1.36814,0.74879,0.72923,0.79227,0.55733,1.02519,0.9928,1.32584,0.000195732,0.000195732,0.000195732
5,465.024,1.03373,1.27836,1.31147,0.79547,0.77601,0.8402,0.60767,0.97178,0.82687,1.2731,5.81223e-05,5.81223e-05,5.81223e-05
