epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.4009,1.33711,2.952,1.54213,0.51041,0.53837,0.51673,0.30131,1.2966,1.66861,1.58861,0.000184881,0.000184881,0.000184881
2,160.36,1.23293,1.89211,1.44482,0.5473,0.5742,0.57967,0.36894,1.20906,1.53522,1.48982,0.000356265,0.000356265,0.000356265
3,235.561,1.21565,1.72276,1.43597,0.61266,0.59265,0.62576,0.37869,1.30045,1.42057,1.54273,0.000475003,0.000475003,0.000475003
4,310.327,1.16338,1.54953,1.39142,0.69956,0.67491,0.73135,0.48987,1.15029,1.15529,1.42969,0.000386102,0.000386102,0.000386102
5,385.061,1.09615,1.34678,1.34078,0.73567,0.7229,0.77114,0.53293,1.0526,1.02784,1.34468,0.00028078,0.00028078,0.00028078
6,460.131,1.03608,1.1936,1.30449,0.81703,0.74951,0.82864,0.58901,1.01603,0.86708,1.2987,0.000175458,0.000175458,0.000175458
7,535.025,0.98421,1.06869,1.26346,0.81444,0.81278,0.86354,0.63172,0.94598,0.74692,1.24221,8.61701e-05,8.61701e-05,8.61701e-05
8,609.787,0.95029,0.98229,1.24288,0.82444,0.84649,0.88956,0.66413,0.91949,0.67586,1.21482,2.65099e-05,2.65099e-05,2.65099e-05
