epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.097,1.3381,2.88575,1.55542,0.46819,0.49297,0.47677,0.30106,1.22811,1.78465,1.52326,0.000185107,0.000185107,0.000185107
2,194.343,1.24362,1.90856,1.45315,0.54098,0.61833,0.59038,0.38548,1.18816,1.46392,1.44584,0.000297093,0.000297093,0.000297093
3,285.539,1.194,1.72224,1.4241,0.67002,0.64214,0.68991,0.46351,1.11943,1.21567,1.40207,0.000335687,0.000335687,0.000335687
4,376.54,1.11077,1.50112,1.36818,0.72276,0.72821,0.77845,0.54609,1.03874,1.0004,1.31857,0.000225736,0.000225736,0.000225736
5,467.182,1.04861,1.30815,1.31533,0.79487,0.77465,0.84061,0.60954,0.96915,0.83428,1.27189,0.000115648,0.000115648,0.000115648
