epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.125,1.32819,3.32587,1.57392,0.26158,0.40337,0.2987,0.17606,1.31835,2.29024,1.61054,0.000185107,0.000185107,0.000185107
2,160.271,1.26169,2.53282,1.49652,0.42894,0.53074,0.46611,0.29733,1.18042,1.79229,1.49034,0.00033542,0.00033542,0.00033542
3,234.572,1.21065,2.20882,1.45071,0.52889,0.60793,0.57674,0.38169,1.13223,1.56222,1.42196,0.000365679,0.000365679,0.000365679
4,308.359,1.13102,1.93069,1.39017,0.58142,0.65204,0.63979,0.43773,1.07621,1.33075,1.36998,0.000195732,0.000195732,0.000195732
5,382.76,1.0911,1.75861,1.35253,0.67699,0.68635,0.72211,0.51058,1.00149,1.15169,1.29952,5.81223e-05,5.81223e-05,5.81223e-05
