epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.9265,1.31276,3.76764,1.65231,0.28977,0.35988,0.27564,0.16387,1.31326,2.32356,1.58267,0.000184881,0.000184881,0.000184881
2,133.986,1.2514,2.79297,1.53661,0.35893,0.52348,0.43153,0.26298,1.21749,1.91596,1.49262,0.000361245,0.000361245,0.000361245
3,184.237,1.22604,2.27866,1.50125,0.49182,0.54371,0.49625,0.3201,1.19198,1.69412,1.45738,0.000503028,0.000503028,0.000503028
4,234.027,1.18724,1.94507,1.45529,0.53955,0.58159,0.57696,0.37631,1.15447,1.52246,1.4029,0.00044255,0.00044255,0.00044255
5,283.704,1.13138,1.6844,1.39732,0.62898,0.62733,0.66103,0.44878,1.07168,1.3286,1.34463,0.000365828,0.000365828,0.000365828
6,333.155,1.06835,1.48787,1.34731,0.6886,0.65812,0.70315,0.48601,1.0605,1.23213,1.32855,0.00028078,0.00028078,0.00028078
7,383.032,1.02316,1.32027,1.30565,0.70923,0.67985,0.73664,0.51758,1.01456,1.13643,1.29532,0.000195732,0.000195732,0.000195732
8,432.838,0.97574,1.19565,1.26815,0.75216,0.73322,0.78951,0.56366,0.98429,1.00715,1.25797,0.00011901,0.00011901,0.00011901
9,482.691,0.93082,1.08619,1.22983,0.76757,0.73731,0.79727,0.57863,0.95762,0.96855,1.23819,5.81223e-05,5.81223e-05,5.81223e-05
10,532.239,0.91419,1.02492,1.2179,0.77014,0.7494,0.81065,0.59112,0.94077,0.93267,1.22483,1.90302e-05,1.90302e-05,1.90302e-05
