epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.862,1.3309,2.78272,1.54157,0.48001,0.53312,0.51234,0.32452,1.20682,1.63858,1.48859,0.000185107,0.000185107,0.000185107
2,198.498,1.2248,1.7895,1.43551,0.5729,0.61373,0.59118,0.3733,1.24547,1.55133,1.50932,0.000297093,0.000297093,0.000297093
3,290.025,1.17677,1.60045,1.40582,0.64158,0.65426,0.6846,0.45,1.15566,1.23498,1.42344,0.000335687,0.000335687,0.000335687
4,381.012,1.10449,1.40178,1.35475,0.75422,0.73975,0.79911,0.56187,1.02915,0.97246,1.32208,0.000225736,0.000225736,0.000225736
5,472.141,1.03274,1.2084,1.30063,0.79853,0.77757,0.84087,0.61419,0.96335,0.82217,1.26339,0.000115648,0.000115648,0.000115648
