epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.658,1.35312,3.66615,1.65218,0.43108,0.50222,0.44605,0.27269,1.28894,1.89399,1.53325,0.000184881,0.000184881,0.000184881
2,186.805,1.28654,2.04802,1.54752,0.40534,0.53976,0.48343,0.30806,1.24428,1.70497,1.50766,0.000361245,0.000361245,0.000361245
3,262.193,1.26887,1.8683,1.52183,0.49594,0.54925,0.5178,0.33191,1.21189,1.6391,1.45818,0.000503028,0.000503028,0.000503028
4,337.049,1.21013,1.64826,1.46868,0.58747,0.59219,0.61442,0.4065,1.14286,1.42437,1.3993,0.00044255,0.00044255,0.00044255
5,411.491,1.12794,1.44447,1.39588,0.66352,0.64147,0.68762,0.46641,1.09341,1.19991,1.35086,0.000365828,0.000365828,0.000365828
6,486.327,1.05532,1.2388,1.33562,0.72984,0.69716,0.75368,0.53442,1.02926,1.07255,1.2995,0.00028078,0.00028078,0.00028078
7,561.302,0.99639,1.06988,1.2808,0.72827,0.72643,0.77502,0.55485,0.98958,1.00722,1.25627,0.000195732,0.000195732,0.000195732
8,637.079,0.93206,0.93324,1.23186,0.8108,0.75661,0.83335,0.61069,0.9475,0.82229,1.23012,0.00011901,0.00011901,0.00011901
9,711.573,0.88305,0.80623,1.1921,0.7885,0.78797,0.85157,0.63082,0.92237,0.79037,1.20566,5.81223e-05,5.81223e-05,5.81223e-05
10,786.434,0.8541,0.74096,1.17298,0.82913,0.79261,0.87378,0.6537,0.90552,0.72193,1.19176,1.90302e-05,1.90302e-05,1.90302e-05
