epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.8349,1.33711,2.952,1.54213,0.51041,0.53837,0.51673,0.30131,1.2966,1.66861,1.58861,0.000184881,0.000184881,0.000184881
2,160.169,1.21913,1.86647,1.43238,0.5398,0.56887,0.55514,0.35422,1.19801,1.57611,1.48683,0.000335216,0.000335216,0.000335216
3,235.616,1.18032,1.63379,1.40382,0.62822,0.59052,0.63138,0.41158,1.16317,1.3785,1.4269,0.00036553,0.00036553,0.00036553
4,310.54,1.09705,1.38848,1.34855,0.73532,0.73033,0.78601,0.55451,1.03457,0.99662,1.32238,0.000195732,0.000195732,0.000195732
5,384.951,1.00993,1.16334,1.28278,0.80453,0.7781,0.84636,0.6177,0.96062,0.80392,1.25193,5.81223e-05,5.81223e-05,5.81223e-05
